id_eess;codigo_renaes;categoria;nombre;diresa;red;direccion;longitud;latitud;id_ubigeo
6175;6178;I-4;CENTRO DE SALUD MATERNO INFANTIL SURQUILLO;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;JIRÓN JR. NARCISO DE LA COLINA 840 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.022067;-12.1182384;1321
6176;6179;I-3;CENTRO DE SALUD SAN ATANACIO DE PEDREGAL;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AV SAUCE MZ A1 LOTE 1 AV SAUCE MZ A1 LOTE 1 SURQUILLO LIMA LIMA;-76.9990462;-12.1212565;1321
6177;6180;I-3;VILLA VICTORIA PORVENIR;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AV. MARTIN LUTHER KING S/N°, URB. VILLA VICTORIA S/N AV. MARTIN LUTHER KING S/N°, URB. VILLA VICTORIA SURQUILLO LIMA LIMA;-77.0120429;-12.1088569;1321
6207;6210;III-2;INSTITUTO NACIONAL DE ENFERMEDADES NEOPLASICAS;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AV.  ANGAMOS ESTE Nº 2520, URB. CALERA DE LA MERCED DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-76.9991488;-12.1117911;1321
7855;8136;I-2;CEN MEDIC;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AV.REPUBLICA DE PANAMA 4774-202-203 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.018626;-12.112625;1321
8272;8568;I-3;SISOL SALUD  SURQUILLO;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AV. ANGAMOS 714-734 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.02400451;-12.11349791;1321
8722;9019;I-2;INSTITUCION PARA EL DESARROLLO PSICOPEDAGOGICO DEL NIÑO Y EL ADOLESCENTE LA LUZ D;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AVENIDA PRINCIPAL MANZANA P LOTE 12 URBANIZACION EL REDUCTO DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.00690947;-12.1143258;1321
8902;9200;SD;PRONEFROS SAC;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE CALLE RIZO PATRON (PEREZ ARANIBAR) Nº 196 - URB BARRIO MEDICO DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.01119075;-12.11481684;1321
10044;10345;I-1;DENS SALUD;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AVENIDA AVIACION 3802, 2DO PISO/ URBANIZACION LACALERA DE LA MERCED/ SURQUILLO DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0000729;-12.1134997;1321
10155;10457;I-3;BIOSMED;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE CALLE OCTAVIO PAZ 255 URB . LA  CALERA SURQUILLO DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0061716;-12.1152646;1321
10435;10737;I-3;FEBAN;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE ALFA AGUILA 100-102 106-108-112-114 CALLE ALFA AGUILA 108-112 SURQUILLO LIMA LIMA;-77.0036747;-12.1182244;1321
11302;11609;I-1;INSTITUTO PSICOPEDAGÓGICO EOS PERÚ;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AV. EL SAUCE 547 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-76.9991013;-12.1214088;1321
11552;11860;I-3;CENTRO ODONTOLOGICO AMERICANO - SURQUILLO;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE CALLE LAS TIENDAS N°331 DPTO- 101 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0211603;-12.1026591;1321
11650;11958;I-2;LIGA CONTRA EL CANCER;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AVENIDA ANGAMOS ESTE 2514 OF 301,302 AVENIDA ANGAMOS ESTE 2514 OF 301,302 SURQUILLO LIMA LIMA;-77.0017457;-12.1120664;1321
11711;12020;II-E;CLINICA OFTALMOLOGICA ESPECIALIZADA ÑAHUI;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AV. ANGAMOS ESTE Nº 714 - 1ER 2DO Y 3ER PISO DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0240858;-12.1135576;1321
12066;12377;I-3;ODALAB SRL;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AVENIDA TOMAS MARSANO 2643, URBANIZACIÓN EL PEDREGAL DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0030483;-12.1256712;1321
12503;12822;I-3;CENTRO ODONTOLOGICO PNP ANGAMOS;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AV ANGAMOS ESTE 833-835 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.02318933;-12.11321922;1321
12566;12885;I-3;POLICLINICO PNP WALTER ROSALES LEON;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE CALLE LOS RUISEÑORES S/N - COMPLEJO  PNP ARAMBURU NÚMERO S/N DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0190228;-12.1157347;1321
